Committee_Id,Committee_Name,Link_Image,Sponsor_Name,Cash_on_Hand,Coverage_End_Date,Total_Disbursement,Total_Receipt
"C00437061","FREEDOM AND SECURITY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00437061","","107982.67","30-JUN-18","87964","187392.2"
"C00410621","SHOW-ME POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00410621","GRAVES, SAMUEL B JR 'SAM'","34010.93","18-JUL-18","230330.1","175500"
"C00387464","ALAMO PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00387464","CORNYN, JOHN","698253.91","30-JUN-18","1062527.1","1758416"
"C00411579","ACTON PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00411579","","126297.8","30-JUN-18","109552","228322.4"
"C00559146","BELIEVE IN LIFE LIBERTY YOURSELF (BILLY PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00559146","LONG II, WILLIAM H.","59203.48","30-JUN-18","79336.4","86422.7"
"C00534032","SAFEGUARDING AMERICAN LIBERTIES MORALS & OPPORTUNITIES NOW (SALMON) PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00534032","SALMON, MATT","265441.2","30-JUN-18","135814.6","393628.8"
"C00385377","ROAD TO VICTORY POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00385377","DUNCAN, JOHN J REP. JR.","269666.6","30-JUN-18","29892.8","38453.1"
"C00570861","R SENATE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00570861","","129469.89","30-JUN-18","95016.5","121500"
"C00457705","COUNTRY FIRST POLITICAL ACTION COMMITTEE, INC. (COUNTRY FIRST PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00457705","MCCAIN, JOHN","68819.23","30-JUN-18","879501.2","866735.3"
"C00575894","BLUE POWER PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00575894","NORCROSS, DONALD W","96871.58","30-JUN-18","43675.1","138200"
"C00540310","SEDONA PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00540310","","0","28-FEB-17","422818.8","954.2"
"C00631077","STAND UP NEW HAMPSHIRE","http://docquery.fec.gov/cgi-bin/fecimg/?C00631077","","0","30-JUN-18","0","0"
"C00348607","IMPACT","http://docquery.fec.gov/cgi-bin/fecimg/?C00348607","SCHUMER, CHARLES","53882.38","30-JUN-18","1342552.5","1028054.9"
"C00526715","GREATER TOMORROW POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00526715","THOMPSON, GLENN","1580.81","30-JUN-18","54132.4","52000"
"C00630541","BLOCK BY BLOCK PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00630541","","0","30-JUN-18","0","0"
"C00390161","EUREKA POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00390161","CALVERT, KEN","3537.63","30-JUN-18","217474.6","205112.1"
"C00491043","LEAD YOUR  NATION NOW PAC  (LYNN PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00491043","JENKINS, LYNN","6667.23","30-JUN-18","37929","24900"
"C00477067","EMPIRE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00477067","GILLIBRAND, KIRSTEN","6591.97","30-JUN-18","139403.4","53500"
"C00630285","OC JOBS & EDUCATION","http://docquery.fec.gov/cgi-bin/fecimg/?C00630285","","10434.49","30-JUN-18","4733.5","15168"
"C00572362","AMERICANS FOR LEGISLATIVE EXCELLENCE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00572362","MOONEY, ALEXANDER XAVIER","0","22-MAY-17","4869.6","1614.2"
"C00541128","FULL HOUSE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00541128","","118961.54","30-JUN-18","61619.4","10011.5"
"C00629998","JENNI ACHIEVING GOALS & OPPORTUNITIES - JGO LPAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00629998","","78971.71","30-JUN-18","63253","104624.7"
"C00461624","ARTICLE 1 POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00461624","YARMUTH, JOHN","21125.56","30-JUN-18","43405.3","32586.1"
"C00475608","RENEWING THE AMERICAN DREAM PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00475608","WALZ, TIMOTHY","4873.42","30-JUN-18","23542.6","19000"
"C00530816","IMMIGRATION REFORM FUND","http://docquery.fec.gov/cgi-bin/fecimg/?C00530816","GUTIERREZ, LUIS V.","340869.1","30-JUN-18","83654.2","82471.4"
"C00574723","PROSPERITY OKLAHOMA PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00574723","","535.87","30-JUN-18","10483.6","6200"
"C00628404","CYBERSECURITY GROWTH POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00628404","","","","",""
"C00486043","ROAD TO FREEDOM POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00486043","ROYCE, ED","100105.41","30-JUN-18","273925.1","284395.4"
"C00433219","FUND FOR THE MAJORITY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00433219","FEINSTEIN, DIANE","55804.77","30-JUN-18","289023.3","278513"
"C00516021","GETTING US INVOLVED NOW, TRANSITIONING AMERICA PAC (GUINTA PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00516021","GUINTA, FRANK","0","20-JUN-18","9470.8","0"
"C00553586","ARAB AMERICAN POLITICAL ACTION COMMITTEE OF MARYLAND","http://docquery.fec.gov/cgi-bin/fecimg/?C00553586","","67","15-APR-17","45","0"
"C00627661","LONE STAR LIBERTY FUND","http://docquery.fec.gov/cgi-bin/fecimg/?C00627661","","5139.72","30-JUN-18","10938.7","13907"
"C00559633","BRINGING YELLOWHAMMER REPUBLICANS NEW ENERGY (BYRNE PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00559633","BYRNE, BRADLEY","9937.52","30-JUN-18","46984.5","54870.9"
"C00573394","BULLDOG VICTORY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00573394","","12333.79","30-JUN-18","68751.7","69154.1"
"C00375584","GREAT LAKES PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00375584","STABENOW, DEBBIE","78395.35","30-JUN-18","643450.5","675930.3"
"C00615351","REAGAN HERITAGE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00615351","","12949.11","30-JUN-18","4050.9","12500"
"C00467431","THE EYE OF THE TIGER POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00467431","SCALISE, STEVE","291726.57","30-JUN-18","1118249.8","1367805.9"
